kelurahan_id,provinsi_name,kabupaten_name,kecamatan_name,kelurahan_name,numVisit
3217008001.0,Jawa Barat,Bandung Barat,Padalarang,Kertamulya,420
3204032001.0,Jawa Barat,Bandung,Baleendah,Baleendah,403
3204012004.0,Jawa Barat,Bandung,Dayeuhkolot,Cangkuang Kulon,365
3273001002.0,Jawa Barat,Kota Bandung,Sukasari,Gegerkalong,363
3204009005.0,Jawa Barat,Bandung,Margahayu,Sayati,314
3273001004.0,Jawa Barat,Kota Bandung,Sukasari,Sarijadi,312
3273013002.0,Jawa Barat,Kota Bandung,Lengkong,Lingkar Selatan,275
3204032006.0,Jawa Barat,Bandung,Baleendah,Rancamanyar,266
3217008007.0,Jawa Barat,Bandung Barat,Padalarang,Kertajaya,239
3204009002.0,Jawa Barat,Bandung,Margahayu,Magahayu Selatan,238
3204035006.0,Jawa Barat,Bandung,Paseh,Sindangsari,214
3204008004.0,Jawa Barat,Bandung,Bojongsoang,Cipagalo,167
3273009002.0,Jawa Barat,Kota Bandung,Bandung Wetan,Taman Sari,167
3273009003.0,Jawa Barat,Kota Bandung,Bandung Wetan,Citarum,167
3273007001.0,Jawa Barat,Kota Bandung,Sukajadi,Pasteur,166
3204011001.0,Jawa Barat,Bandung,Katapang,Sangkanhurip,163
3204012005.0,Jawa Barat,Bandung,Dayeuhkolot,Sukapura,157
3273002003.0,Jawa Barat,Kota Bandung,Coblong,Sadang Serang,153
3217009002.0,Jawa Barat,Bandung Barat,Batujajar,Batujajar Barat,153
3217006004.0,Jawa Barat,Bandung Barat,Ngamprah,Tanimulya,152
3204032005.0,Jawa Barat,Bandung,Baleendah,Bojongmalaka,151
3204011007.0,Jawa Barat,Bandung,Katapang,Cilampeni,145
3273013005.0,Jawa Barat,Kota Bandung,Lengkong,Turangga,143
3273016002.0,Jawa Barat,Kota Bandung,Kiaracondong,Kebon Jayanti,143
3273022002.0,Jawa Barat,Kota Bandung,Buahbatu,Margasari,140
3273022003.0,Jawa Barat,Kota Bandung,Buahbatu,Cijaura,140
3273021001.0,Jawa Barat,Kota Bandung,Bandung Kidul,Batununggal,135
3273021003.0,Jawa Barat,Kota Bandung,Bandung Kidul,Mengger,132
3273001003.0,Jawa Barat,Kota Bandung,Sukasari,Isola,130
3273002002.0,Jawa Barat,Kota Bandung,Coblong,Lebak Gede,129
3273011004.0,Jawa Barat,Kota Bandung,Regol,Balong Gede,127
3204009003.0,Jawa Barat,Bandung,Margahayu,Sukamenak,126
3273023003.0,Jawa Barat,Kota Bandung,Rancasari,Manjahlega,125
3217008006.0,Jawa Barat,Bandung Barat,Padalarang,Ciburuy,123
3204010001.0,Jawa Barat,Bandung,Margaasih,Margaasih,122
3217008002.0,Jawa Barat,Bandung Barat,Padalarang,Padalarang,122
3204014005.0,Jawa Barat,Bandung,Pameungpeuk,Rancamulya,120
3204010005.0,Jawa Barat,Bandung,Margaasih,Rahayu,118
3273016005.0,Jawa Barat,Kota Bandung,Kiaracondong,Babakan Sari,116
3273009001.0,Jawa Barat,Kota Bandung,Bandung Wetan,Cihapit,116
3217006003.0,Jawa Barat,Bandung Barat,Ngamprah,Cilame,115
