district_id,kecamatan_name,kabupaten_name,provinsi_name,numVisit
7371013,Rappocini,Kota Makassar,Sulawesi Selatan,6558
1207026,Percut Sei Tuan,Deli Serdang,Sumatera Utara,4425
3174007,Kebayoran Baru,Kota Administrasi Jakarta Selatan,DKI Jakarta,4322
7371010,Tamalate,Kota Makassar,Sulawesi Selatan,4111
3175010,Cipayung,Kota Administrasi Jakarta Timur,DKI Jakarta,3999
3175009,Ciracas,Kota Administrasi Jakarta Timur,DKI Jakarta,3876
3174002,Setiabudi,Kota Administrasi Jakarta Selatan,DKI Jakarta,3754
3174003,Mampang Prapatan,Kota Administrasi Jakarta Selatan,DKI Jakarta,3744
7371009,Panakkukang,Kota Makassar,Sulawesi Selatan,3592
7306008,Somba Opu,Gowa,Sulawesi Selatan,3462
3174009,Jagakarsa,Kota Administrasi Jakarta Selatan,DKI Jakarta,3367
7371011,Biringkanaya,Kota Makassar,Sulawesi Selatan,3343
7371012,Manggala,Kota Makassar,Sulawesi Selatan,3214
7371014,Tamalanrea,Kota Makassar,Sulawesi Selatan,3194
3174004,Pasar Minggu,Kota Administrasi Jakarta Selatan,DKI Jakarta,3179
1207023,Sunggal,Deli Serdang,Sumatera Utara,3116
3174008,Pancoran,Kota Administrasi Jakarta Selatan,DKI Jakarta,2952
3175007,Duren Sawit,Kota Administrasi Jakarta Timur,DKI Jakarta,2913
5171001,Denpasar Selatan,Kota Denpasar,Bali,2762
3276002,Cimanggis,Kota Depok,Jawa Barat,2729
1271011,Medan Johor,Kota Medan,Sumatera Utara,2626
1271009,Medan Amplas,Kota Medan,Sumatera Utara,2624
3174001,Tebet,Kota Administrasi Jakarta Selatan,DKI Jakarta,2404
3175005,Pasar Rebo,Kota Administrasi Jakarta Timur,DKI Jakarta,2390
1271003,Medan Helvetia,Kota Medan,Sumatera Utara,2330
3276006,Beji,Kota Depok,Jawa Barat,2285
1271021,Medan Selayang,Kota Medan,Sumatera Utara,2223
3175004,Kramatjati,Kota Administrasi Jakarta Timur,DKI Jakarta,2074
1271002,Medan Sunggal,Kota Medan,Sumatera Utara,2067
3275002,Bekasi Barat,Kota Bekasi,Jawa Barat,2066
3275004,Bekasi Selatan,Kota Bekasi,Jawa Barat,1987
3671001,Tangerang,Kota Tangerang,Banten,1986
3174006,Cilandak,Kota Administrasi Jakarta Selatan,DKI Jakarta,1969
1271004,Medan Denai,Kota Medan,Sumatera Utara,1929
3175002,Pulogadung,Kota Administrasi Jakarta Timur,DKI Jakarta,1864
1271014,Medan Tembung,Kota Medan,Sumatera Utara,1843
1271020,Medan Timur,Kota Medan,Sumatera Utara,1783
3276005,Sukmajaya,Kota Depok,Jawa Barat,1779
3173008,Kembangan,Kota Administrasi Jakarta Barat,DKI Jakarta,1709
3173001,Cengkareng,Kota Administrasi Jakarta Barat,DKI Jakarta,1685
3674001,Serpong,Kota Tangerang Selatan,Banten,1666
3174005,Kebayoran Lama,Kota Administrasi Jakarta Selatan,DKI Jakarta,1656
7371002,Mamajang,Kota Makassar,Sulawesi Selatan,1600
3216002,Babelan,Bekasi,Jawa Barat,1583
3171007,Tanah Abang,Kota Administrasi Jakarta Pusat,DKI Jakarta,1573
3674006,Pamulang,Kota Tangerang Selatan,Banten,1571
3172003,Koja,Kota Administrasi Jakarta Utara,DKI Jakarta,1488
3275003,Bekasi Utara,Kota Bekasi,Jawa Barat,1463
,,,,1451
3674003,Pondok Aren,Kota Tangerang Selatan,Banten,1367
3174010,Pesanggrahan,Kota Administrasi Jakarta Selatan,DKI Jakarta,1361
3175003,Jatinegara,Kota Administrasi Jakarta Timur,DKI Jakarta,1358
3216006,Tambun Selatan,Bekasi,Jawa Barat,1342
