kelurahan_id,provinsi_name,kabupaten_name,kecamatan_name,kelurahan_name,numVisit
7371013001.0,Sulawesi Selatan,Kota Makassar,Rappocini,Tidung,1956
5171001008.0,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,1855
3276002009.0,Jawa Barat,Kota Depok,Cimanggis,Tugu,1519
3174007001.0,DKI Jakarta,Kota Administrasi Jakarta Selatan,Kebayoran Baru,Melawai,1312
3175009001.0,DKI Jakarta,Kota Administrasi Jakarta Timur,Ciracas,Ciracas,1300
1271011004.0,Sumatera Utara,Kota Medan,Medan Johor,Pangkalan Mansur,1278
3275004005.0,Jawa Barat,Kota Bekasi,Bekasi Selatan,Kayuringinjaya,1222
7371014003.0,Sulawesi Selatan,Kota Makassar,Tamalanrea,Tamalanrea Indah,1215
3175010002.0,DKI Jakarta,Kota Administrasi Jakarta Timur,Cipayung,Cilangkap,1116
3174003004.0,DKI Jakarta,Kota Administrasi Jakarta Selatan,Mampang Prapatan,Tegal Parang,1092
3174009005.0,DKI Jakarta,Kota Administrasi Jakarta Selatan,Jagakarsa,Tanjung Barat,1086
3174002008.0,DKI Jakarta,Kota Administrasi Jakarta Selatan,Setiabudi,Kuningan Timur,1084
3276006005.0,Jawa Barat,Kota Depok,Beji,Pondok Cina,1051
3175009003.0,DKI Jakarta,Kota Administrasi Jakarta Timur,Ciracas,Kelapa Dua Wetan,1043
7371012008.0,Sulawesi Selatan,Kota Makassar,Manggala,Bitowa,1026
3174003003.0,DKI Jakarta,Kota Administrasi Jakarta Selatan,Mampang Prapatan,Pela Mampang,1024
7371013010.0,Sulawesi Selatan,Kota Makassar,Rappocini,Gunung Sari,996
1271021002.0,Sumatera Utara,Kota Medan,Medan Selayang,Tanjungsari,983
3174008001.0,DKI Jakarta,Kota Administrasi Jakarta Selatan,Pancoran,Pancoran,913
1271009004.0,Sumatera Utara,Kota Medan,Medan Amplas,Harjosari I,884
3174007008.0,DKI Jakarta,Kota Administrasi Jakarta Selatan,Kebayoran Baru,Petogogan,798
3276005003.0,Jawa Barat,Kota Depok,Sukmajaya,Abadi Jaya,790
7371011002.0,Sulawesi Selatan,Kota Makassar,Biringkanaya,Daya,776
7371009007.0,Sulawesi Selatan,Kota Makassar,Panakkukang,Masale,776
3175009002.0,DKI Jakarta,Kota Administrasi Jakarta Timur,Ciracas,Cibubur,773
3216002006.0,Jawa Barat,Bekasi,Babelan,Bahagia,765
